"Віцебская","<вобласць>","<вобласць>","г.","Ві́цебск","м.","-ка, -кам, -ку","Viciebsk","Витебск"
"Віцебская","<вобласць>","<вобласць>","г.","Навапо́лацк","м.","-ка, -кам, -ку","Navapolack","Новополоцк"
"Віцебская","<вобласць>","<вобласць>","г.","О́рша","ж.","-шы, -шай і -шаю, -шы","Orša","Орша"
"Віцебская","<вобласць>","<вобласць>","г.","По́лацк","м.","-ка, -кам, -ку","Polack","Полоцк"
"Віцебская","Аршанскі","<раён>","г. п.","Арэ́хаўск","м.","-ка, -кам, -ку","Arechaŭsk","Ореховск"
"Віцебская","Аршанскі","<раён>","г. п.","Ко́пысь","ж.","-сі, -ссю, -сі","Kopyś","Копысь"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Андрэ́еўшчына","ж.","-ны, -най i -наю, -не","Andrejeŭščyna","Андреевщина"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Аніба́лева","н.","-ва, -вам, -ве","Anibalieva","Анибалево"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Берасце́нава","н.","-ва, -вам, -ве","Bierascienava","Берестеново"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Вялі́кая Мі́цькаўшчына","ж.","-кай -ны, -кай -най i -каю -наю, -кай -не","Vialikaja Mićkaŭščyna","Великая Митьковщина"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Куда́ева","н.","-ва, -вам, -ве","Kudajeva","Кудаево"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Мі́цькаўшчына","ж.","-ны, -най i -наю, -не","Mićkaŭščyna","Митьковщина"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Прыдняпро́ўе","н.","-ро́ўя, -ро́ўем, -ро́ўі","Prydniaproŭje","Приднепровье"
"Віцебская","Аршанскі","Андрэеўшчынскі","в.","Со́лаўе","н.","-лаўя, -лаўем, -лаўі","Solaŭje","Соловье"
"Віцебская","Аршанскі","Арэхаўскі","в.","Бру́хава","н.","-ва, -вам, -ве","Bruchava","Брюхово"
"Віцебская","Аршанскі","Арэхаўскі","в.","Вераце́я","ж.","-це́і, -це́яй і -це́яю, -це́і","Vieracieja","Веретея"
"Віцебская","Аршанскі","Арэхаўскі","в.","Карабішчы́","мн.","-чо́ў, -ча́мі, -ча́х","Karabiščy","Коробищи"
"Віцебская","Аршанскі","Арэхаўскі","в.","Краснабе́ль","ж.","-лі, -ллю, -лі","Krasnabieĺ","Краснобель"
"Віцебская","Аршанскі","Арэхаўскі","в.","Раго́зіна","н.","-на, -нам, -не","Rahozina","Рагозино"
"Віцебская","Аршанскі","Арэхаўскі","в.","Халмы́","мн.","-мо́ў, -ма́мі, -ма́х","Chalmy","Холмы"
"Віцебская","Аршанскі","Барздоўскі","в.","Бабічы́","мн.","-чо́ў, -ча́мі, -ча́х","Babičy","Бабичи"
"Віцебская","Аршанскі","Барздоўскі","в.","Барздо́ўка","ж.","-кі, -кай i -каю, -ўцы","Barzdoŭka","Борздовка"
"Віцебская","Аршанскі","Барздоўскі","в.","Бая́ры","мн.","Бая́р i -раў, -рамі, -рах","Bajary","Бояры"
"Віцебская","Аршанскі","Барздоўскі","в.","Браздзе́чына","н.","-на, -нам, -не","Brazdziečyna","Браздечино"
"Віцебская","Аршанскі","Барздоўскі","в.","Бу́дзішча","н.","-ча, -чам, -чы","Budzišča","Будище"
"Віцебская","Аршанскі","Барздоўскі","в.","Гара́ны","мн.","-ра́н i -наў, -намі, -нах","Harany","Гораны"
"Віцебская","Аршанскі","Барздоўскі","в.","Е́сіпава","н.","-ва, -вам, -ве","Jesipava","Есипово"
"Віцебская","Аршанскі","Барздоўскі","в.","Загарэ́льскія","мн.","-кіх, -кімі, -кіх","Zahareĺskija","Загорельские"
"Віцебская","Аршанскі","Барздоўскі","в.","Кра́шына","н.","-на, -нам, -не","Krašyna","Крашино"
"Віцебская","Аршанскі","Барздоўскі","в.","Кушэ́ўка","ж.","-кі, -кай i -каю, -ўцы","Kušeŭka","Кушевка"
"Віцебская","Аршанскі","Барздоўскі","в.","Ляво́наўка","ж.","-кі, -кай i -каю, -ўцы","Liavonaŭka","Леоновка"
"Віцебская","Аршанскі","Барздоўскі","в.","Мака́раўка","ж.","-кі, -кай i -каю, -ўцы","Makaraŭka","Макаровка"
"Віцебская","Аршанскі","Барздоўскі","в.","Ма́ркавічы","мн.","-віч i -вічаў, -чамі, -чах","Markavičy","Марковичи"
"Віцебская","Аршанскі","Барздоўскі","в.","Пе́чышча","н.","-ча, -чам, -чы","Piečyšča","Печище"
"Віцебская","Аршанскі","Барздоўскі","в.","Прыгу́зкі","мн.","-гу́зак i -зкаў, -камі, -ках","Pryhuzki","Пригузки"
"Віцебская","Аршанскі","Барздоўскі","в.","Пугляі́","мн.","-ляёў, -ляя́мі, -ляя́х","Puhliai","Пугляи"
"Віцебская","Аршанскі","Барздоўскі","в.","Сі́дараўка","ж.","-кі, -кай i -каю, -ўцы","Sidaraŭka","Сидоровка"
"Віцебская","Аршанскі","Барздоўскі","в.","Су́днікі","мн.","-каў, -камі, -ках","Sudniki","Судники"
"Віцебская","Аршанскі","Барздоўскі","в.","Турлаі́","мн.","-лаёў, -лая́мі, -лая́х","Turlai","Турлаи"
"Віцебская","Аршанскі","Барздоўскі","в.","Чуры́лава","н.","-ва, -вам, -ве","Čurylava","Чурилово"
"Віцебская","Аршанскі","Вусценскі","в.","Бара́нь","ж.","-ні, -нню, -ні","Barań","Барань"
"Віцебская","Аршанскі","Вусценскі","в.","Бараўцы́","мн.","-цо́ў, -ца́мі, -ца́х","Baraŭcy","Боровцы"
"Віцебская","Аршанскі","Вусценскі","в.","Бе́лева","н.","-ва, -вам, -ве","Bielieva","Белево"
"Віцебская","Аршанскі","Вусценскі","в.","Бра́нцава","н.","-ва, -вам, -ве","Brancava","Бранцево"
"Віцебская","Аршанскі","Вусценскі","в.","Ву́сце","н.","-ця, -цем, -ці","Vuscie","Устье"
"Віцебская","Аршанскі","Вусценскі","в.","Вязава́я","ж.","-во́й, -во́й i -во́ю, -во́й","Viazavaja","Вязовая"
"Віцебская","Аршанскі","Вусценскі","в.","Клю́шнікава","н.","-ва, -вам, -ве","Kliušnikava","Клюшниково"
"Віцебская","Аршанскі","Вусценскі","в.","Кра́сны Бе́раг","м.","-нага -га, -ным -гам, -ным -разе","Krasny Bierah","Красный Берег"
"Віцебская","Аршанскі","Вусценскі","в.","Ле́нькавічы","мн.","-віч і -вічаў, -чамі, -чах","Lieńkavičy","Леньковичи"
"Віцебская","Аршанскі","Вусценскі","в.","Лі́пкі","мн.","Лі́пак i -пкаў, -камі, -ках","Lipki","Липки"
"Віцебская","Аршанскі","Вусценскі","в.","Малі́наўка","ж.","-кі, -кай i -каю, -ўцы","Malinaŭka","Малиновка"
"Віцебская","Аршанскі","Вусценскі","в.","Маро́заўка","ж.","-кі, -кай i -каю, -ўцы","Marozaŭka","Морозовка"
