"Гомельская","Брагінскі","Брагінскаму раённаму Савету дэпутатаў і выканаўчаму камітэту","в.","Пажа́ркі","мн.","-рак і -ркаў, -камі, -ках","Pažarki","Пожарки"
"Гомельская","Брагінскі","Брагінскаму раённаму Савету дэпутатаў і выканаўчаму камітэту","в.","Сабалі́","мн.","-лёў, -ля́мі, -ля́х","Sabali","Соболи"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","п.","Вяльмо́ў","м.","-ва, -вам, -ве","Viaĺmoŭ","Вельмов"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Жалібо́р","м.","-ра, -рам, -ры","Žalibor","Желибор"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Зале́ссе","н.","-сся, -ссем, -ссі","Zaliessie","Залесье"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Іва́нкі","мн.","-нак і -нкаў, -нкамі, -нках","Ivanki","Иванки"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Калы́бань","ж.","-ні, -нню, -ні","Kalybań","Колыбань"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Ка́рлаўка","ж.","-кі, -кай і -каю, -ўцы","Karlaŭka","Карловка"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Каці́чаў","м.","-ва, -вам, -ве","Kacičaŭ","Катичев"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Кі́рава","н.","-ва, -вам, -ве","Kirava","Кирово"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Крукі́","мн.","-ко́ў, -ка́мі, -ка́х","Kruki","Крюки"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Кула́жын","м.","-на, -нам, -не","Kulažyn","Кулажин"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Міхалёўка","ж.","-кі, -кай і -каю, -ўцы","Michalioŭka","Михалёвка"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Па́сека","ж.","-кі, -кай і -каю, -сецы","Pasieka","Пасека"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Пасу́дава","н.","-ва, -вам, -ве","Pasudava","Посудово"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","п.","Пры́станскае","н.","-кага, -кім","Prystanskaje","Пристанское"
"Гомельская","Брагінскі","Камарынскаму раённаму Савету дэпутатаў і ваканаўчаму камітэту","в.","Чы́калавічы","мн.","-віч і -вічаў, -чамі, -чах","Čykalavičy","Чикаловичи"
"Гомельская","Брагінскі","Асарэвіцкі","в.","Асарэ́вічы","мн.","-віч, -вічаў, -чамі -чах","Asarevičy","Асаревичи"
"Гомельская","Брагінскі","Асарэвіцкі","в.","Вя́лле","н.","-лля, -ллем, -ллі","Viallie","Вялье"
"Гомельская","Брагінскі","Асарэвіцкі","в.","Га́лкі","мн.","-лак і -лкаў, -лкамі, -лках","Halki","Галки"
"Гомельская","Брагінскі","Буркоўскі","в.","Астрагля́ды","мн.","-даў, -дамі, -дах","Astrahliady","Острогляды"
"Гомельская","Брагінскі","Буркоўскі","в.","Багушы́","мн.","-шо́ў, -ша́мі, -ша́х","Bahušy","Богуши"
"Гомельская","Брагінскі","Буркоўскі","в.","Бакуны́","мн.","-но́ў, -на́мі, -на́х","Bakuny","Бакуны"
"Гомельская","Брагінскі","Буркоўскі","в.","Буркі́","мн.","-ко́ў, -ка́мі, -ка́х","Burki","Бурки"
"Гомельская","Брагінскі","Буркоўскі","в.","Вязо́к","м.","Вязка́, -ко́м, -ку́","Viazok","Вязок"
"Гомельская","Брагінскі","Буркоўскі","в.","Дубро́ўнае","н.","-нага, -ным","Dubroŭnaje","Дубровное"
"Гомельская","Брагінскі","Буркоўскі","в.","Кавалі́","мн.","-лёў, -ля́мі, -ля́х","Kavali","Ковали"
"Гомельская","Брагінскі","Буркоўскі","в.","Марыто́н","м.","-на, -нам, -не","Maryton","Маритон"
"Гомельская","Брагінскі","Буркоўскі","в.","Хату́ча","ж.","-чы, -чай і -чаю, -чы","Chatuča","Хатуча"
"Гомельская","Брагінскі","Верхнежароўскі","в.","Ве́рхнія Жары́","мн.","-ніх -ро́ў, -німі -ра́мі, -ніх -ра́х","Vierchnija Žary","Верхние Жары"
"Гомельская","Брагінскі","Верхнежароўскі","в.","Гдзень","м.","Гдзе́ня, -нем, -ні","Hdzień","Гдень"
"Гомельская","Брагінскі","Верхнежароўскі","в.","Ні́жнія Жары́","мн.","-ніх -ро́ў, -німі -ра́мі, -ніх -ра́х","Nižnija Žary","Нижние Жары"
"Гомельская","Брагінскі","Вуглоўскі","в.","Вуглы́","мн.","-ло́ў, -ла́мі, -ла́х","Vuhly","Углы"
"Гомельская","Брагінскі","Вуглоўскі","в.","Камано́ў","м.","-ва, -вам, -ве","Kamanoŭ","Команов"
"Гомельская","Брагінскі","Вуглоўскі","в.","Лубенікі́","мн.","-ко́ў, -ка́мі, -ка́х","Lubieniki","Лубеники"
"Гомельская","Брагінскі","Вуглоўскі","п.","Ма́йскі","м.","-кага, -кім","Majski","Майский"
"Гомельская","Брагінскі","Вуглоўскі","в.","Мі́хнаўка","ж.","-кі, -кай і -каю, -ўцы","Michnaŭka","Михновка"
"Гомельская","Брагінскі","Вуглоўскі","в.","Но́вы Пуць","м.","-вага -ці́, -вым -цём, -вым -ці́","Novy Puć","Новый Путь"
"Гомельская","Брагінскі","Вуглоўскі","в.","Ру́дня Жураўлёва","ж.","-ні -вай, -няй -вай і -няю -ваю, -ні -вай","Rudnia Žuraŭliova","Рудня Журавлёва"
"Гомельская","Брагінскі","Вуглоўскі","в.","Такліно́ў","м.","-ва, -вам, -ве","Taklinoŭ","Теклинов"
"Гомельская","Брагінскі","Вуглоўскі","в.","Шкураты́","мн.","-ра́т і -рато́ў, -та́мі, -та́х","Škuraty","Шкураты"
"Гомельская","Брагінскі","Дублінскі","в.","Валахо́ўшчына","ж.","-ны, -най і -наю, -не","Valachoŭščyna","Волоховщина"
"Гомельская","Брагінскі","Дублінскі","в.","Глу́хавічы","мн.","-віч і -вічаў, -чамі, -чах","Hluchavičy","Глуховичи"
"Гомельская","Брагінскі","Дублінскі","в.","Дублі́н","м.","-на́, -но́м, -не́","Dublin","Дублин"
"Гомельская","Брагінскі","Дублінскі","п.","Ду́браўка","ж.","-кі, -кай і -каю, -ўцы","Dubraŭka","Дубровка"
"Гомельская","Брагінскі","Дублінскі","в.","Ільічы́","мн.","-чо́ў, -ча́мі, -ча́х","Iĺjičy","Ильичи"
"Гомельская","Брагінскі","Дублінскі","в.","Казялу́жцы","мн.","-цаў, -цамі, -цах","Kazialužcy","Козелужцы"
"Гомельская","Брагінскі","Дублінскі","п.","Ле́нінец","м.","-нца, -нцам, -нцы","Lieniniec","Ленинец"
"Гомельская","Брагінскі","Дублінскі","в.","Ну́дзічы","мн.","-дзіч і -дзічаў, -чамі, -чах","Nudzičy","Нудичи"
"Гомельская","Брагінскі","Дублінскі","в.","Рафа́лаў","м.","-ва, -вам, -ве","Rafalaŭ","Рафалов"
"Гомельская","Брагінскі","Дублінскі","в.","Спяры́жжа","н.","-жжа, -жжам, -жжы","Spiaryžža","Сперижье"
"Гомельская","Брагінскі","Дублінскі","в.","Стары́я Ю́ркавічы","мн.","-ры́х -віч і -ры́х -вічаў, -ры́мі -чамі, -ры́х -чах","Staryja Jurkavičy","Старые Юрковичи"
"Гомельская","Брагінскі","Дублінскі","в.","Ясяні́","мн.","-нёў, -ня́мі, -ня́х","Jasiani","Ясени"
"Гомельская","Брагінскі","Малажынскі","в.","Аляксе́еўка","ж.","-кі, -кай i -каю, -ўцы","Aliaksiejeŭka","Алексеевка"
"Гомельская","Брагінскі","Малажынскі","в.","Бераснёўка","ж.","-кі, -кай і -каю, -ўцы","Bierasniоŭka","Береснёвка"
"Гомельская","Брагінскі","Малажынскі","п.","Гро́мкі","м.","-кага, -кім","Hromki","Громкий"
"Гомельская","Брагінскі","Малажынскі","п","Дабраго́шча","ж.","-чы, -чай і -чаю, -чы","Dabrahošča","Доброгоща"
"Гомельская","Брагінскі","Малажынскі","в.","Жы́лічы","мн.","-ліч і -лічаў, -чамі, -чах","Žyličy","Жиличи"
"Гомельская","Брагінскі","Малажынскі","п.","Кра́сная Ні́ва","ж.","-най -вы, -най -вай і -наю -ваю, -най -ве","Krasnaja Niva","Красная Нива"
"Гомельская","Брагінскі","Малажынскі","в.","Кры́ўча","ж.","-чы, -чай і -чаю, -чы","Kryŭиa","Кривча"
"Гомельская","Брагінскі","Малажынскі","п.","Ле́нінск","м.","-ка, -кам, -ку","Lieninsk","Ленинск"
"Гомельская","Брагінскі","Малажынскі","в.","Ма́лажын","м.","-на, -нам, -не","Malažyn","Маложин"
"Гомельская","Брагінскі","Малажынскі","в.","Перано́сы","мн.","-но́с і -но́саў, -самі, -сах","Pieranosy","Переносы"
"Гомельская","Брагінскі","Малажынскі","п.","Ры́таў","м.","-ва, -вам, -ве","Rytaŭ","Ритов"
"Гомельская","Брагінскі","Малажынскі","п.","Чырво́ная Паля́на","ж.","-най -ны, -най -най і -наю -наю, -най -не","Čyrvonaja Paliana","Чирвоная Поляна"
"Гомельская","Брагінскі","Малейкаўскі","в.","Гарадзі́шча","н.","-ча, -чам, -чы","Haradzišča","Городище"
"Гомельская","Брагінскі","Малейкаўскі","в.","Гарадо́к","м.","-дка́, -дко́м, -дку́","Haradok","Городок"
"Гомельская","Брагінскі","Малейкаўскі","в.","Зарэ́чча","н.","-чча, -ччам, -ччы","Zarečča","Заречье"
"Гомельская","Брагінскі","Малейкаўскі","в.","Катло́віца","ж.","-цы, -цай і -цаю, -цы","Katlovica","Котловица"
"Гомельская","Брагінскі","Малейкаўскі","в.","Мале́йкі","мн.","-ле́ек і -ле́йкаў, -камі, -ках","Maliejki","Малейки"
"Гомельская","Брагінскі","Малейкаўскі","в.","Но́вы Макрэ́ц","м.","-вага -раца́, -вым -рацо́м, -вым -рацы́","Novy Makrec","Новый Мокрец"
"Гомельская","Брагінскі","Малейкаўскі","в.","Пе́трыцкае","н.","-кага, -кім","Pietryckaje","Петрицкое"
"Гомельская","Брагінскі","Малейкаўскі","в.","Стары́ Макрэ́ц","м.","-ро́га -раца́, -ры́м -рацо́м, -ры́м -рацы́","Stary Makrec","Старый Мокрец"
"Гомельская","Брагінскі","Малейкаўскі","в.","Сце́жарнае","н.","-нага, -ным","Sciežarnaje","Стежерное"
"Гомельская","Брагінскі","Малейкаўскі","в.","Сяле́ц","м.","-льца́, -льцо́м, -льцы́","Sialiec","Селец"
"Гомельская","Брагінскі","Малейкаўскі","в.","Тэ́льман","м.","-на, -нам, -не","Teĺman","Тельман"
"Гомельская","Брагінскі","Мікуліцкі","в.","Вялі́кі Лес","м.","-кага -са, -кім -сам, -кім -се","Vialiki Lies","Великий Лес"
"Гомельская","Брагінскі","Мікуліцкі","в.","Ко́нанаўшчына","ж.","-ны, -най і -наю, -не","Konanaŭščyna","Кононовщина"
"Гомельская","Брагінскі","Мікуліцкі","в.","Міку́лічы","мн.","-ліч і -лічаў, -чамі, -чах","Mikuličy","Микуличи"
"Гомельская","Брагінскі","Мікуліцкі","в.","Ры́жкаў","м.","-ва, -вам, -ве","Ryžkaŭ","Рыжков"
"Гомельская","Брагінскі","Мікуліцкі","в.","Чырво́нае По́ле","н.","-нага -ля, -ным -лем, -ным -лі","Čyrvonaje Polie","Чирвоное Поле"
"Гомельская","Брагінскі","Новаялчанскі","в.","Алякса́ндраўка","ж.","-кі, -кай і -каю, -ўцы","Aliaksandraŭka","Александровка"
"Гомельская","Брагінскі","Новаялчанскі","в.","Бяро́зкі","мн.","-зак і -зкаў, -камі, -ках","Biarozki","Берёзки"
"Гомельская","Брагінскі","Новаялчанскі","в.","Галубо́ўка","ж.","-кі, -кай і -каю, -ўцы","Haluboŭka","Голубовка"
"Гомельская","Брагінскі","Новаялчанскі","п.","Капо́ранскія Ля́ды","мн.","-кіх Ляд і -кіх Ля́даў, -кімі -дамі, -кіх -дах","Kaporanskija Liady","Капоренские Ляды"
"Гомельская","Брагінскі","Новаялчанскі","в.","Кра́снае","н.","-нага, -ным","Krasnaje","Красное"
"Гомельская","Брагінскі","Новаялчанскі","в.","Людзвіно́ў","м.","-ва, -вам, -ве","Liudzvinoŭ","Людвинов"
"Гомельская","Брагінскі","Новаялчанскі","в.","Но́вая Ёлча","ж.","-вай -чы, -вай -чай і -ваю -чаю, -вай -чы","Novaja Jolča","Новая Ёлча"
"Гомельская","Брагінскі","Новаялчанскі","в.","Стара́я Ёлча","ж.","-ро́й -чы, -ро́й -чай і -ро́ю -чаю, -ро́й -чы","Staraja Jolča","Старая Ёлча"
"Гомельская","Брагінскі","Новаялчанскі","п.","Стары́я Ля́ды","мн.","-ры́х Ляд і -ры́х Ля́даў, -ры́мі -дамі, -ры́х -дах","Staryja Liady","Старые Ляды"
"Гомельская","Брагінскі","Хракавіцкі","в.","Вы́грабная Слабада́","ж.","-най -ды́, -най -до́й і -наю -до́ю, -най -дзе́","Vyhrabnaja Slabada","Выгребная Слобода"
"Гомельская","Брагінскі","Хракавіцкі","в.","Вярхо́вая Слабада́","ж.","-вай -ды́, -вай -до́й і -ваю -до́ю, -вай -дзе́","Viarchovaja Slabada","Верховая Слобода"
"Гомельская","Брагінскі","Хракавіцкі","в.","Гру́шнае","н.","-нага, -ным","Hrušnaje","Грушное"
"Гомельская","Брагінскі","Хракавіцкі","в.","Двор-Са́вічы","мн.","Двор-Савіч і Двор-Савічаў, Двор-Савічамі, Двор-Савічах","Dvor-Savičy","Двор-Савичи"
"Гомельская","Брагінскі","Хракавіцкі","в.","Жэ́рднае","н.","-нага, -ным","Žerdnaje","Жердное"
"Гомельская","Брагінскі","Хракавіцкі","п.","Калі́нінскі","м.","-кага, -кім","Kalininski","Калининский"
"Гомельская","Брагінскі","Хракавіцкі","п.","Ле́нінскі","м.","-кага, -кім","Lieninski","Ленинский"
"Гомельская","Брагінскі","Хракавіцкі","в.","Ля́ды","мн.","Ляд і Ля́даў, -дамі, -дах","Liady","Ляды"
"Гомельская","Брагінскі","Хракавіцкі","в.","Не́жыхаў","м.","-ва, -вам, -ве","Niežychaŭ","Нежихов"
"Гомельская","Брагінскі","Хракавіцкі","в.","Но́вая Грэ́бля","ж.","-вай -лі, -вай -ляй і -ваю -ляю, -вай -лі","Novaja Hreblia","Новая Гребля"
"Гомельская","Брагінскі","Хракавіцкі","в.","Но́вы Сцепано́ў","м.","-вага -но́ва, -вым -но́вам, -вым -но́ве","Novy Sciepanoŭ","Новый Степанов"
"Гомельская","Брагінскі","Хракавіцкі","в.","Но́выя Хракаві́чы","мн.","-вых -ві́ч і -вых -ві́чаў, -вымі -чамі, -вых -чах","Novyja Chrakavičy","Новые Храковичи"
"Гомельская","Брагінскі","Хракавіцкі","в.","Перасяці́нец","м.","-нца, -нцам, -нцы","Pierasiaciniec","Пересетинец"
"Гомельская","Брагінскі","Хракавіцкі","в.","Пі́ркі","мн.","Пі́рак і Пі́ркаў, -камі, -ках","Pirki","Пирки"
"Гомельская","Брагінскі","Хракавіцкі","в.","Про́смычы","мн.","-мыч і -мычаў, -чамі, -чах","Prosmyčy","Просмычи"
"Гомельская","Брагінскі","Хракавіцкі","в.","Пу́чын","м.","-на, -нам, -не","Pučyn","Пучин"
"Гомельская","Брагінскі","Хракавіцкі","в.","Са́вічы","мн.","-віч і -вічаў, -чамі, -чах","Savičy","Савичи"
"Гомельская","Брагінскі","Хракавіцкі","в.","Стары́ Сцепано́ў","м.","-ро́га -но́ва, -ры́м -но́вам, -ры́м -но́ве","Stary Sciepanoŭ","Старый Степанов"
