"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Бабраўні́кі","мн.","-каў, -камі, -ках","Babraŭniki","Бобровники"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Беразо́ўка","ж.","-кі, -кай і -каю, -ўцы","Bierazoŭka","Березовка"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Бо́льнікі","мн.","-каў, -камі, -ках","Boĺniki","Больники"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Ва́да","ж.","-ды, -дай і -даю, -дзе","Vada","Вада"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Валайку́ны","мн.","-ку́н і -ку́наў, -намі, -нах","Valajkuny","Валайкуны"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Варня́ны","мн.","-ня́н і -ня́наў, -намі, -нах","Varniany","Ворняны"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Варо́на","ж.","-ны, -най і -наю, -не","Varona","Ворона"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Газа́","ж.","-зы́, -зо́й і -зо́ю, -зе́","Haza","Гоза"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Грышко́йці","мн.","-цяў, -цямі, -цях","Hryškojci","Гришкойти"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Грэ́балы","мн.","-бал і -балаў, -ламі, -лах","Hrebaly","Гребалы"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Ду́бнікі","мн.","-каў, -камі, -ках","Dubniki","Дубники"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","За́газь","ж.","-зі, -ззю, -зі","Zahaź","Загозь"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Запо́льныя","мн.","-ных, -нымі, -ных","Zapoĺnyja","Запольные"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Зялёнка","ж.","-кі, -кай і -каю, -нцы","Zialionka","Зелёнка"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Кавалёўка","ж.","-кі, -кай і -каю, -ўцы","Kavalioŭka","Ковалёвка"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Карвэ́лі","мн.","-вэ́ль і -вэ́ляў, -лямі, -лях","Karveli","Карвели"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Ка́рлаўшчына","ж.","-ны, -най і -наю, -не","Karlaŭščyna","Карловщина"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Кулі́шкі","мн.","-шак і -шкаў, -камі, -ках","Kuliški","Кулишки"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Кярня́ны","мн.","-ня́н і -ня́наў, -намі, -нах","Kiarniany","Керняны"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Лазавы́я","мн.","-вых, -вымі, -вых","Lazavyja","Лозовые"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Лы́нкішкі","мн.","-шак і -шкаў, -камі, -ках","Lynkiški","Лынкишки"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Мацке́лы","мн.","-ке́л і -ке́лаў, -ламі, -лах","Mackiely","Мацкелы"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Ме́льнікі","мн.","-каў, -камі, -ках","Mieĺniki","Мельники"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Мяшля́ны","мн.","-ля́н і -ля́наў, -намі, -нах","Miašliany","Мешляны"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Навадро́жкі","мн.","-жак і -жкаў, -камі, -ках","Navadrožki","Новодрожки"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Нідзя́ны","мн.","-дзя́н і -дзя́наў, -намі, -нах","Nidziany","Нидяны"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Ру́дзішкі","мн.","-шак і -шкаў, -камі, -ках","Rudziški","Рудишки"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","х.","Сасані́шкі","мн.","-шак і -шкаў, -камі, -ках","Sasaniški","Сасонишки"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Слабада́","ж.","-ды́, -до́й і -до́ю, -дзе́","Slabada","Слобода"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Стаўбуры́","мн.","-ро́ў, -ра́мі, -ра́х","Staŭbury","Ставбуры"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Сыманэ́лі","мн.","-нэ́ль і -нэ́ляў, -лямі, -лях","Symaneli","Сымонели"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Сянка́нцы","мн.","-цаў, -цамі, -цах","Siankancy","Сенканцы"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Тарта́к","м.","-ка́, -ко́м, -ку́","Tartak","Тартак"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Фальваркі́","мн.","-ко́ў, -ка́мі, -ка́х","Faĺvarki","Фольварки"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Хралы́","мн.","-ло́ў, -ла́мі, -ла́х","Chraly","Хролы"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Чыжо́ўшчына","ж.","-ны, -най і -наю, -не","Čyžoŭščyna","Чижовщина"
"Гродзенская","АСТРАВЕЦКІ","ВАРНЯНСКІ","в.","Чэ́рнішкі","мн.","-шак і -шкаў, -камі, -ках","Černiški","Чернишки"
