"Магілёўская","Асіповіцкі","<раён>","г.","Асіпо́вічы","мн.","-віч і -вічаў, -чамі, -чах","Asipovičy","Осиповичи"
"Магілёўская","Асіповіцкі","<раён>","р. п.","Тата́рка","ж.","-кі, -кай і -каю, -рцы","Tatarka","Татарка"
"Магілёўская","Асіповіцкі","<раён>","р. п.","Ялі́зава","н.","-ва, -вам, -ве","Jalizava","Елизово"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Агу́ла","ж.","-лы, -лай і -лаю, -ле","Ahula","Агула"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Акця́бр","м.","-ра́, -ро́м, -ры́","Akciabr","Октябрь"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Брадзі́шча","н.","-ча, -чам, -чы","Bradzišča","Бродище"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Булга́ры","мн.","-га́р і -га́раў, -рамі, -рах","Bulhary","Булгары"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Вя́ззе","н.","-ззя, -ззем, -ззі","Viazzie","Вязье"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Вялі́кая Гаро́жа","ж.","-кай -жы, -кай -жай і -каю -жаю, -кай -жы","Vialikaja Haroža","Великая Горожа"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Вярэ́йцы","мн.","-цаў, -цамі, -цах","Viarejcy","Верейцы"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Замо́шша","н.","-шша, -шшам, -шшы","Zamošša","Замошье"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Засяле́чча","н.","-чча, -ччам, -ччы","Zasialiečča","Заселечье"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Зборск","м.","-ска, -скам, -ску","Zborsk","Зборск"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Кама́рын","м.","-на, -нам, -не","Kamaryn","Комарин"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Ле́ніна","н.","-на, -нам, -не","Lienina","Ленино"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Літві́нава","н.","-ва, -вам, -ве","Litvinava","Литвиново"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Лу́чыцы","мн.","-чыц і -чыцаў, -цамі, -цах","Lučycy","Лучицы"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Мала́я Гаро́жа","ж.","-ло́й -жы, -ло́й -жай і -ло́ю -жаю, -ло́й -жы","Malaja Haroža","Малая Горожа"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","О́рча","ж.","-чы, -чай і -чаю, -чы","Orča","Орча"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Паташня́","ж.","-ні́, -нёй і -нёю, -ні́","Patašnia","Поташня"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Смык","м.","Смы́ка, Смы́кам, Смы́ку","Smyk","Смык"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Ста́нцыя Асіпо́вічы 2","ж.","-цыi Асіпо́вічы, -цыі Асіпо́вічы","Stancyja Asipovіčy 2","Станция Осиповичи 2"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Ста́нцыя Асіпо́вічы 3","ж.","-цыi Асіпо́вічы, -цыі Асіпо́вічы","Stancyja Asipovіčy 3","Станция Осиповичи 3"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Цяплу́хі","мн.","-лу́х і -лу́хаў, -хамі, -хах","Ciapluchi","Теплухи"
"Магілёўская","Асіповіцкі","Вяззеўскі","в.","Ясяне́ц","м.","-нца́, -нцо́м, -нцы́","Jasiаniec","Ясенец"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Амі́навічы","мн.","-віч і -вічаў, -чамі, -чах","Aminavičy","Аминовичи"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Асаво́к","м.","-ўка́, -ўко́м, -ўку́","Asavok","Осовок"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Градзяне́ц","м.","-нца́, -нцо́м, -нцы́","Hradzianiec","Гроденец"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Градзя́нка","ж.","-кі, -кай і -каю, -нцы","Hradzianka","Гродянка"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Казіміро́ва","н.","-ва, -вам, -ве","Kazimirоva","Казимирово"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Ка́менічы","мн.","-ніч і -нічаў, -чамі, -чах","Kamieničy","Каменичи"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Лазо́вае","н.","-вага, -вым","Lazovaje","Лозовое"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Пагарэ́лае","н.","-лага, -лым","Paharelaje","Погорелое"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Прыце́рпа","ж.","-пы, -пай і -паю, -пе","Prycierpa","Притерпа"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Цэзаро́ва","н.","-ва, -вам, -ве","Cezarova","Цезарёво"
"Магілёўская","Асіповіцкі","Градзянскі","в.","Яно́ўка","ж.","-кі, -кай і -каю, -ўцы","Janoŭka","Яновка"
"Магілёўская","Асіповіцкі","Дараганаўскі","в.","Во́страў","м.","-ва, -вам, -ве","Vostraŭ","Остров"
"Магілёўская","Асіповіцкі","Дараганаўскі","в.","Дарага́нава","н.","-ва, -вам, -ве","Darahanava","Дороганово"
"Магілёўская","Асіповіцкі","Дараганаўскі","в.","Кама́рына","н.","-на, -нам, -не","Kamaryna","Комарино"
